Latin-Title,Bulgarian-Title,Resource-URL
Adelphella babingtonii,Лещовидна пахиелла,http://manatarka.org/adelphella-babingtonii
Agaricus arvensis,Анасонлийка|Анасонова печурка|Бяла горско-ливадна печурка|Горско-ливадна печурка|Дебелкиня|Ливадна печурка,http://manatarka.org/agaricus-arvensis
Agaricus augustus,Гигантска печурка|Кралска печурка|Царска печурка,http://manatarka.org/agaricus-augustus
Agaricus bitorquis,Двупръстенна печурка|Паважна печурка|Тротоарна печурка,http://manatarka.org/agaricus-bitorquis
Agaricus bohusii,Бохусова печурка,http://manatarka.org/agaricus-bohusii
Agaricus bresadolanus,Безадолова печурка,http://manatarka.org/agaricus-bresadolanus
Agaricus campestris,Полска печурка|Старци|Червенушка,http://manatarka.org/agaricus-campestris
Agaricus comtulus,Дребна печурка|Пеперуда,http://manatarka.org/agaricus-comtulus
Agaricus cupreobrunneus,Меднокафява печурка,http://manatarka.org/agaricus-cupreobrunneus
Agaricus essettei,Клубеновидна печурка,http://manatarka.org/agaricus-essettei
Agaricus langei,Печурка на Ланге,http://manatarka.org/agaricus-langei
Agaricus menieri,Мениерова печурка|Пясъчна печурка,http://manatarka.org/agaricus-menieri
Agaricus moelleri,Мьолерова печурка|Печурка на Мьолер,http://manatarka.org/agaricus-moelleri
Agaricus sylvaticus,Горска печурка|Кървавочервена печурка,http://manatarka.org/agaricus-sylvaticus
Agaricus sylvicola,Охрена горска печурка,http://manatarka.org/agaricus-sylvicola
Agaricus urinascens,Едроспорова печурка|Магарешник,http://manatarka.org/agaricus-urinascens
Agaricus xanthodermus,Карболка|Карболова печурка,http://manatarka.org/agaricus-xanthodermus
Agrocybe cylindracea,Каваклийка|Тополова пънчушка,http://manatarka.org/agrocybe-cylindracea
Agrocybe praecox,Пролетна гъба|Ранна ливадна гъба,http://manatarka.org/agrocybe-praecox
Albatrellus confluens,Кифла|Симиденка,http://manatarka.org/albatrellus-confluens
Albatrellus cristatus,Гребенеста гъба|Кафяво-зелена прахан,http://manatarka.org/albatrellus-cristatus
Albatrellus ovinus,Овча прахан|Овча праханка|Овче виме,http://manatarka.org/albatrellus-ovinus
Albatrellus pes-caprae,Кози крак|Люспест кози крак,http://manatarka.org/albatrellus-pes-caprae
Aleuria aurantia,Оранжево керино ухо,http://manatarka.org/aleuria-aurantia
Amanita beckeri,Бекерова сурогризка,http://manatarka.org/amanita-beckeri
Amanita caesarea,Булка гъба|Булница|Яйченик,http://manatarka.org/amanita-caesarea
Amanita ceciliae,Сесилиева сурогризка|Сурогризка на Сесилия,http://manatarka.org/amanita-ceciliae
Amanita citrina,Жълта мухоморка|Лимоненожълта мухоморка,http://manatarka.org/amanita-citrina
Amanita crocea,Оранжева мухоморка|Шафранова мухоморка,http://manatarka.org/amanita-crocea
Amanita echinocephala,Шипоглава мухоморка,http://manatarka.org/amanita-echinocephala
Amanita eliae,Фризиева мухоморка,http://manatarka.org/amanita-eliae
Amanita excelsa,Гъстопетниста мухоморка,http://manatarka.org/amanita-excelsa
Amanita franchetii,Грапаволюспеста мухоморка|Франшетова мухоморка,http://manatarka.org/amanita-franchetii
Amanita gemmata,Жълто-розова мухоморка,http://manatarka.org/amanita-gemmata
Amanita muscaria,Червена мухоморка,http://manatarka.org/amanita-muscaria
Amanita ovoidea,Яйцевидна мухоморка,http://manatarka.org/amanita-ovoidea
Amanita pantherina,Пантерка|Петниста мухоморка,http://manatarka.org/amanita-pantherina
Amanita phalloides,Зелена мухоморка|Пакостница,http://manatarka.org/amanita-phalloides
Amanita porphyria,Порфирна мухоморка|Пурпурнокафява мухоморка,http://manatarka.org/amanita-porphyria
Amanita rubescens,Бисерка|Бисерна гъба|Перла|Перлова гъба,http://manatarka.org/amanita-rubescens
Amanita strobiliformis,Дрипава мухоморка|Шишарковидна мухоморка,http://manatarka.org/amanita-strobiliformis
Amanita vaginata,Бяла сурогризка|Сива мухоморка|Сурогризка,http://manatarka.org/amanita-vaginata
Amanita verna,Бяла мухоморка,http://manatarka.org/amanita-verna
Amanita virosa,Бяла леплива мухоморка|Бяла отровна мухоморка|Леплива бяла мухоморка,http://manatarka.org/amanita-virosa
Amanita vittadinii,Едролюспеста мухоморка,http://manatarka.org/amanita-vittadinii
Ampulloclitocybe clavipes,Дебелопънчеста орешарка,http://manatarka.org/ampulloclitocybe-clavipes
Antrodia juniperina,Хвойнова антродия,http://manatarka.org/antrodia-juniperina
Arachnopeziza aurelia,Златиста арахнопезиза,http://manatarka.org/arachnopeziza-aurelia
Armillaria mellea,Обикновена пънчушка|Припънка|Пънчушка|Светеща пънчушка|Фосфорна гъба|Чума по дърветата,http://manatarka.org/armillaria-mellea
Armillaria ostoyae,Смърчова припънка,http://manatarka.org/armillaria-ostoyae
Armillaria tabescens,Неопръстенена пънчушка,http://manatarka.org/armillaria-tabescens
Arrhenia spathulata,Спатуловидна арения,http://manatarka.org/arrhenia-spathulata
Astraeus hygrometricus,Хигрометрична земна звезда|Хигроскопична земна звезда,http://manatarka.org/astraeus-hygrometricus
Aureoboletus gentilis,Златистотръбеста манатарка,http://manatarka.org/aureoboletus-gentilis
Aureoboletus moravicus,Моравска манатарка,http://manatarka.org/aureoboletus-moravicus
Auricularia auricula-judae,Аурикулария|Китайска черна дървесна гъба|Купичка|Ушна мида|Юдино ухо,http://manatarka.org/auricularia-auriculajudae
Auriscalpium vulgare,Обикновен аурискалпиум,http://manatarka.org/auriscalpium-vulgare
Battarrea phalloides,Фалоидна батареа,http://manatarka.org/battarrea-phalloides
Bisporella citrina,Лимоненожълта чашка,http://manatarka.org/bisporella-citrina
Bolbitius vitellinus,Жълт болбитиус,http://manatarka.org/bolbitius-vitellinus
Boletopsis leucomelaena,Саждивосив болетопсис,http://manatarka.org/boletopsis-leucomelaena
