Latin-Title,Bulgarian-Title,Resource-URL
Microstoma protractum,Алпийска чашка,http://manatarka.org/microstoma-protractum
Hericium alpestre,Алпийски корал,http://manatarka.org/hericium-alpestre
Suillus lakei,Американска масловка,http://manatarka.org/suillus-lakei
Cantharellus amethysteus,Аметистов пачи крак,http://manatarka.org/cantharellus-amethysteus
Laccaria amethystina,Аметистова гъба,http://manatarka.org/laccaria-amethystina
Laccaria amethystina,Аметистова хамелеонова гъба,http://manatarka.org/laccaria-amethystina
Clitocybe odora,Анасонка,http://manatarka.org/clitocybe-odora
Agaricus arvensis,Анасонлийка,http://manatarka.org/agaricus-arvensis
Clitocybe odora,Анасонова миризливка,http://manatarka.org/clitocybe-odora
Agaricus arvensis,Анасонова печурка,http://manatarka.org/agaricus-arvensis
Hydnellum suaveolens,Ароматен хиднелум,http://manatarka.org/hydnellum-suaveolens
Clathrus archeri,Арчеров клатрус,http://manatarka.org/clathrus-archeri
Auricularia auricula-judae,Аурикулария,http://manatarka.org/auricularia-auriculajudae
Sarcoscypha coccinea,Бабино ушенце,http://manatarka.org/sarcoscypha-coccinea
Hygrophorus agathosmus,Бадемова гъба,http://manatarka.org/hygrophorus-agathosmus
Chroogomphus rutilus,Бакърен овчи нос,http://manatarka.org/chroogomphus-rutilus
Tricholoma equestre,Бархетна гъба,http://manatarka.org/tricholoma-equestre
Stropharia coronilla,Бежова строфария,http://manatarka.org/stropharia-coronilla
Amanita beckeri,Бекерова сурогризка,http://manatarka.org/amanita-beckeri
Tuber borchii,Белезникав трюфел,http://manatarka.org/tuber-borchii
Helvella crispa,Белезникава бучка,http://manatarka.org/helvella-crispa
Pleurotus pulmonarius,Белодробна кладница,http://manatarka.org/pleurotus-pulmonarius
Helvella spadicea,Белостъблена бучка,http://manatarka.org/helvella-spadicea
Lactifluus bertillonii,Бертильонова млечница,http://manatarka.org/lactifluus-bertillonii
Russula emetica,Беснурка,http://manatarka.org/russula-emetica
Tuber borchii,Бианчето,http://manatarka.org/tuber-borchii
Amanita rubescens,Бисерка,http://manatarka.org/amanita-rubescens
Amanita rubescens,Бисерна гъба,http://manatarka.org/amanita-rubescens
Mitrula paludosa,Блатна митрула,http://manatarka.org/mitrula-paludosa
Pleurotus cornucopiae,Бледа кладница,http://manatarka.org/pleurotus-cornucopiae
Ramaria pallida,Бледа коралка,http://manatarka.org/ramaria-pallida
Lactarius pallidus,Бледа млечница,http://manatarka.org/lactarius-pallidus
Cantharellus pallens,Бледожълт пачи крак,http://manatarka.org/cantharellus-pallens
Lactarius flavidus,Бледожълта млечница,http://manatarka.org/lactarius-flavidus
Gymnopus fusipes,Бледорозова паричка,http://manatarka.org/gymnopus-fusipes
Melastiza cornubiensis,Бодлива меластиза,http://manatarka.org/melastiza-cornubiensis
Lycoperdon echinatum,Бодлива пърхутка,http://manatarka.org/lycoperdon-echinatum
Cortinarius praestans,Боздуганка,http://manatarka.org/cortinarius-praestans
Hericium alpestre,Боров корал,http://manatarka.org/hericium-alpestre
Boletus pinophilus,Борова манатарка,http://manatarka.org/boletus-pinophilus
Fomitopsis pinicola,Борова праханова гъба,http://manatarka.org/fomitopsis-pinicola
Hypholoma capnoides,Борова пънчушка,http://manatarka.org/hypholoma-capnoides
Lepista nuda,Боровинка,http://manatarka.org/lepista-nuda
